Stay;BodyType;AircraftType;NbTowings;Arr_Number;Arr_Date;Arr_Hour;Arr_CourrierCode;Dep_Number;Dep_Date;Dep_Hour;Dep_CourrierCode
2310877;MP;320;0;1305;23/06/2016;19:55;MC;1134;23/06/2016;20:50;MC
2310879;MP;320;0;1735;23/06/2016;14:30;MC;1342;23/06/2016;16:00;MC
2310880;MP;321;0;1033;23/06/2016;09:00;MC;1348;23/06/2016;10:05;MC
2310881;MP;319;0;1549;23/06/2016;19:55;MC;1350;23/06/2016;21:00;MC
2310882;MP;320;0;7669;23/06/2016;11:05;MC;1346;23/06/2016;12:35;MC
2310883;MP;320;0;1227;23/06/2016;19:55;MC;1326;23/06/2016;21:00;MC
2310884;MP;318;0;1723;23/06/2016;14:15;MC;1328;23/06/2016;15:25;MC
2310885;3N;E70;0;7533;23/06/2016;08:00;MC;1324;23/06/2016;08:50;MC
2310886;3N;E70;0;7677;23/06/2016;07:50;MC;1338;23/06/2016;08:30;MC
2310888;3N;E70;0;1211;23/06/2016;16:05;MC;1392;23/06/2016;16:45;MC
2310889;MP;319;0;1465;23/06/2016;17:35;MC;1390;23/06/2016;18:50;MC
2310891;MP;318;0;1147;23/06/2016;15:10;MC;1404;23/06/2016;16:05;MC
2310892;MP;321;0;1823;23/06/2016;20:00;MC;1400;23/06/2016;20:50;MC
2310893;3N;E70;0;1273;23/06/2016;14:40;MC;1372;23/06/2016;15:25;MC
2310894;3N;E90;0;1477;23/06/2016;12:25;MC;1374;23/06/2016;13:45;MC
2310895;MP;319;0;1589;23/06/2016;20:00;MC;1354;23/06/2016;21:10;MC
2310896;MP;319;0;1597;23/06/2016;19:40;MC;1358;23/06/2016;20:45;MC
2310897;MP;318;0;1267;23/06/2016;08:55;MC;1366;23/06/2016;10:05;MC
2310898;MP;320;0;1185;23/06/2016;19:40;MC;1380;23/06/2016;20:30;MC
2310900;3N;E90;0;1407;23/06/2016;18:55;MC;1376;23/06/2016;21:00;MC
2310901;3N;E70;0;1473;23/06/2016;09:00;MC;1272;23/06/2016;10:00;MC
2310902;3N;E90;0;1319;23/06/2016;18:35;MC;1274;23/06/2016;19:15;MC
2310903;3N;E70;0;1193;23/06/2016;11:55;MC;1264;23/06/2016;12:35;MC
