Stay    ;BodyType ;AircraftType ;Towable ;Arr_OwnerCie ;Arr_ExploitingCie ;Arr_Number ;Arr_Date   ;Arr_Hour ;Arr_CourrierCode ;Arr_Stop ;Dep_OwnerCie ;Dep_ExploitingCie ;Dep_Number ;Dep_Date   ;Dep_Hour ;Dep_CourrierCode ;Dep_Stop
2310647;3N       ;E90          ;0;A5           ;AF                ;1377;23/06/2016;09:20;MC               ;BIO      ;A5           ;AF                ;1606;23/06/2016;10:15;MC               ;DUS
2310649;MP       ;318;0;AF           ;AF                ;1329;23/06/2016;19:35;MC               ;BLQ      ;AF           ;AF                ;1610;23/06/2016;20:55;MC               ;HAM
2310651;MP       ;318;0;AF           ;AF                ;1229;23/06/2016;12:05;MC               ;BLQ      ;AF           ;AF                ;1614;23/06/2016;12:55;MC               ;ZRH
2310652;MP       ;319;0;AF           ;AF                ;1145;23/06/2016;11:45;MC               ;SVO      ;AF           ;AF                ;1588;23/06/2016;13:15;MC               ;OTP
2310653;MP       ;319;0;AF           ;AF                ;1653;23/06/2016;09:15;MC               ;KBP      ;AF           ;AF                ;1590;23/06/2016;10:00;MC               ;IST
2310654;MP       ;319;0;AF           ;AF                ;1355;23/06/2016;10:55;MC               ;ALG      ;AF           ;AF                ;1596;23/06/2016;12:35;MC               ;CMN
2310655;MP       ;318;0;AF           ;AF                ;7739;23/06/2016;14:30;MC               ;BES      ;AF           ;AF                ;1604;23/06/2016;15:25;MC               ;FCO
2310656;MP       ;318;0;AF           ;AF                ;7705;23/06/2016;11:05;MC               ;NCE      ;AF           ;AF                ;1600;23/06/2016;12:35;MC               ;MAD
2310657;MP       ;320;1;AF           ;AF                ;1197;22/06/2016;22:20;MC               ;CMN      ;AF           ;AF                ;1668;23/06/2016;07:20;MC               ;MAN
2310658;MP       ;321;1;AF           ;AF                ;1181;22/06/2016;22:20;MC               ;LHR      ;AF           ;AF                ;1680;23/06/2016;07:30;MC               ;LHR
2310659;3N       ;E90          ;0;A5           ;AF                ;1887;23/06/2016;09:30;MC               ;EDI      ;A5           ;AF                ;1686;23/06/2016;10:10;MC               ;EDI
2310660;3N       ;E90          ;0;A5           ;AF                ;1553;23/06/2016;09:15;MC               ;GOT      ;A5           ;AF                ;1618;23/06/2016;10:00;MC               ;FRA
2310661;MP       ;319;0;AF           ;AF                ;1789;23/06/2016;19:00;MC               ;SOF      ;AF           ;AF                ;1652;23/06/2016;19:45;MC               ;KBP
2310662;MP       ;318;0;AF           ;AF                ;1743;23/06/2016;14:20;MC               ;GVA      ;AF           ;AF                ;1666;23/06/2016;15:30;MC               ;FLR
2310663;MP       ;318;0;AF           ;AF                ;1067;23/06/2016;11:50;MC               ;FLR      ;AF           ;AF                ;1710;23/06/2016;12:45;MC               ;HAM
