Stay ;BodyType ;AircraftType ;Towable ;Arr_OwnerCie ;Arr_ExploitingCie ;Arr_Number ;Arr_Date ;Arr_Hour;Arr_CourrierCode ;Arr_Stop ;Dep_OwnerCie ;Dep_ExploitingCie ;Dep_Number ;Dep_Date ;Dep_Hour;Dep_CourrierCode ;Dep_Stop ;Parking 1 ;Contact 1 ;Zone 1 ;Start Date 1 ;Start Hour 1 ;End Date 1 ;End Hour 1 ;Parking 2 ;Contact 2 ;Zone 2 ;Start Date 2 ;Start Hour 2 ;End Date 2 ;End Hour 2 ;Parking 3 ;Contact 3 ;Zone 3 ;Start Date 3 ;Start Hour 3 ;End Date 3 ;End Hour 3 ;Parking 4 ;Contact 4 ;Zone 4 ;Start Date 4 ;Start Hour 4 ;End Date 4 ;End Hour 4 
3300291;MP;319;0;AF;AF;7517;09/08/2022;10:40;MC;TLS;AF;AF;1012;09/08/2022;11:30;MC;LIN;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
3300292;MP;321;0;AF;AF;9427;09/08/2022;15:30;MC;RHO;AF;AF;1494;09/08/2022;16:45;MC;BUD;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
3300293;MP;321;0;AF;AF;7681;09/08/2022;07:20;MC;MPL;AF;AF;1340;09/08/2022;08:20;MC;AMS;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
3300324;MP;319;0;AF;AF;1667;09/08/2022;20:00;MC;FLR;AF;AF;1266;09/08/2022;20:55;MC;FLR;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
3300338;MP;223;0;AF;AF;1233;09/08/2022;14:50;MC;ATH;AF;AF;1510;09/08/2022;15:50;MC;HAM;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
3300350;MP;319;0;AF;AF;9441;09/08/2022;08:40;MC;AGP;AF;AF;7702;09/08/2022;09:30;MC;NCE;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
3300387;MP;320;0;AF;AF;7737;09/08/2022;07:25;MC;BES;AF;AF;1072;09/08/2022;08:20;MC;JMK;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
3300397;MP;321;0;AF;AF;1401;09/08/2022;08:05;MC;MAD;AF;AF;1104;09/08/2022;09:15;MC;FCO;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
3300403;MP;223;0;AF;AF;1227;09/08/2022;19:45;MC;VCE;AF;AF;1238;09/08/2022;21:05;MC;VIE;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
3300427;MP;321;0;AF;AF;7733;09/08/2022;20:30;MC;BES;AF;AF;7670;09/08/2022;21:30;MC;MRS;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
3300436;MP;319;0;AF;AF;9455;09/08/2022;19:50;MC;VLC;AF;AF;1448;09/08/2022;21:05;MC;BCN;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
3300437;MP;223;0;AF;AF;1239;09/08/2022;08:15;MC;VIE;AF;AF;1294;09/08/2022;09:15;MC;BUD;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
3300456;MP;321;0;AF;AF;1725;09/08/2022;20:50;MC;ZTH;AF;AF;7728;09/08/2022;21:50;MC;NTE;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
3300476;MP;223;0;AF;AF;1733;09/08/2022;08:25;MC;LIN;AF;AF;1138;09/08/2022;09:20;MC;VIE;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
3300483;MP;321;0;AF;AF;7629;09/08/2022;17:05;MC;BOD;AF;AF;7708;09/08/2022;18:10;MC;NCE;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
3300493;MP;321;0;AF;AF;7523;09/08/2022;16:05;MC;TLS;AF;AF;7738;09/08/2022;17:05;MC;BES;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
3300549;MP;223;0;AF;AF;1851;09/08/2022;16:55;MC;CPH;AF;AF;1050;09/08/2022;17:50;MC;CPH;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
3300558;MP;223;0;AF;AF;1731;09/08/2022;19:25;MC;MXP;AF;AF;1578;09/08/2022;20:35;MC;NAP;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
3300578;MP;319;0;AF;AF;9421;09/08/2022;15:15;MC;AGP;AF;AF;7686;09/08/2022;16:35;MC;MPL;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
3300579;MP;320;0;AF;AF;1347;09/08/2022;18:25;MC;WAW;AF;AF;1246;09/08/2022;19:20;MC;WAW;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
3300581;MP;321;0;AF;AF;7689;09/08/2022;12:10;MC;MPL;AF;AF;1724;09/08/2022;13:30;MC;ZTH;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
3300654;MP;223;0;AF;AF;1533;09/08/2022;16:55;MC;ATH;AF;AF;1248;09/08/2022;17:50;MC;BCN;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
3300655;MP;320;0;AF;AF;1601;09/08/2022;18:50;MC;MAD;AF;AF;1582;09/08/2022;20:15;MC;PRG;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
3300665;MP;321;0;AF;AF;7701;09/08/2022;12:40;MC;NCE;AF;AF;7634;09/08/2022;13:45;MC;BOD;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
3300679;MP;223;0;AF;AF;1071;09/08/2022;19:45;MC;HEL;AF;AF;1732;09/08/2022;20:55;MC;LIN;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
3300695;MP;223;0;AF;AF;1139;09/08/2022;14:20;MC;VIE;AF;AF;1548;09/08/2022;15:25;MC;BCN;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
3300702;MP;319;0;AF;AF;1349;09/08/2022;14:35;MC;BCN;AF;AF;1666;09/08/2022;15:40;MC;FLR;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
3300709;MP;223;0;AF;AF;1179;09/08/2022;14:40;MC;NAP;AF;AF;1730;09/08/2022;15:35;MC;MXP;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
3300714;MP;223;1;AF;AF;1611;09/08/2022;07:45;MC;HAM;AF;AF;1734;09/08/2022;09:45;MC;BER;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
