Stay    ;BodyType ;AircraftType ;Towable ;Arr_OwnerCie ;Arr_ExploitingCie ;Arr_Number ;Arr_Date   ;Arr_Hour ;Arr_CourrierCode ;Arr_Stop ;Dep_OwnerCie ;Dep_ExploitingCie ;Dep_Number ;Dep_Date   ;Dep_Hour ;Dep_CourrierCode ;Dep_Stop
2309931 ;3N       ;E90          ;      0 ;A5           ;AF                ;      1687 ;21/06/2016 ;14:25    ;MC               ;EDI      ;A5           ;AF                ;      1486 ;21/06/2016 ;15:25    ;MC               ;EDI
2309932 ;MP       ;318          ;      0 ;AF           ;AF                ;      1723 ;21/06/2016 ;14:15    ;MC               ;MUC      ;AF           ;AF                ;      1494 ;21/06/2016 ;15:30    ;MC               ;BUD
2309933 ;MP       ;321          ;      0 ;AF           ;AF                ;      1649 ;21/06/2016 ;17:05    ;MC               ;BCN      ;AF           ;AF                ;      1440 ;21/06/2016 ;18:00    ;MC               ;AMS
2309934 ;MP       ;318          ;      0 ;AF           ;AF                ;      1435 ;21/06/2016 ;11:55    ;MC               ;TXL      ;AF           ;AF                ;      1442 ;21/06/2016 ;12:50    ;MC               ;GVA
2309935 ;3N       ;E70          ;      0 ;A5           ;AF                ;      1393 ;21/06/2016 ;19:45    ;MC               ;BSL      ;A5           ;AF                ;      1438 ;21/06/2016 ;20:25    ;MC               ;HAJ
2309936 ;MP       ;320          ;      0 ;AF           ;AF                ;      1343 ;21/06/2016 ;19:15    ;MC               ;GVA      ;AF           ;AF                ;      1462 ;21/06/2016 ;20:05    ;MC               ;ARN
2309937 ;MP       ;321          ;      0 ;AF           ;AF                ;      1835 ;21/06/2016 ;19:55    ;MC               ;TXL      ;AF           ;AF                ;      1448 ;21/06/2016 ;21:00    ;MC               ;BCN
2309938 ;3N       ;E90          ;      0 ;A5           ;AF                ;      1307 ;21/06/2016 ;10:35    ;MC               ;DUS      ;A5           ;AF                ;      1452 ;21/06/2016 ;13:05    ;MC               ;GOT
2309939 ;MP       ;318          ;      0 ;AF           ;AF                ;      1543 ;21/06/2016 ;10:25    ;MC               ;GVA      ;AF           ;AF                ;      1742 ;21/06/2016 ;11:15    ;MC               ;GVA
2309940 ;MP       ;321          ;      0 ;AF           ;AF                ;      1205 ;21/06/2016 ;12:25    ;MC               ;FCO      ;AF           ;AF                ;      1738 ;21/06/2016 ;13:25    ;MC               ;VIE
2309941 ;MP       ;318          ;      0 ;AF           ;AF                ;      1423 ;21/06/2016 ;11:25    ;MC               ;MUC      ;AF           ;AF                ;      1740 ;21/06/2016 ;12:35    ;MC               ;AMS
2309942 ;MP       ;319          ;      0 ;AF           ;AF                ;      1089 ;21/06/2016 ;09:20    ;MC               ;OTP      ;AF           ;AF                ;      1752 ;21/06/2016 ;10:20    ;MC               ;KBP
2309943 ;MP       ;319          ;      0 ;AF           ;AF                ;      1145 ;21/06/2016 ;11:45    ;MC               ;SVO      ;AF           ;AF                ;      1744 ;21/06/2016 ;12:50    ;MC               ;SVO
2309944 ;MP       ;318          ;      1 ;AF           ;AF                ;      1405 ;20/06/2016 ;21:20    ;MC               ;FCO      ;AF           ;AF                ;      1750 ;21/06/2016 ;07:15    ;MC               ;CPH
2309945 ;MP       ;318          ;      0 ;AF           ;AF                ;      1843 ;21/06/2016 ;13:15    ;MC               ;GVA      ;AF           ;AF                ;      1712 ;21/06/2016 ;14:45    ;MC               ;LIN
2309946 ;3N       ;E90          ;      0 ;A5           ;AF                ;      1453 ;21/06/2016 ;18:00    ;MC               ;GOT      ;A5           ;AF                ;      1718 ;21/06/2016 ;18:40    ;MC               ;FRA
2309948 ;MP       ;318          ;      0 ;AF           ;AF                ;      1415 ;21/06/2016 ;09:05    ;MC               ;ZRH      ;AF           ;AF                ;      1722 ;21/06/2016 ;10:15    ;MC               ;MUC
2309949 ;MP       ;319          ;      0 ;AF           ;AF                ;      1213 ;21/06/2016 ;11:25    ;MC               ;LIN      ;AF           ;AF                ;      1726 ;21/06/2016 ;12:35    ;MC               ;VCE
