Stay    ;BodyType ;AircraftType ;NbTowings ;Arr_Number ;Arr_Date   ;Arr_Hour ;Arr_CourrierCode ;Dep_Number ;Dep_Date   ;Dep_Hour ;Dep_CourrierCode
3301224 ;MP       ;         321 ;        0 ;      7651 ;09/08/2022 ;07:05    ;MC               ;      7348 ;09/08/2022 ;08:05    ;MC
3301241 ;MP       ;         319 ;        0 ;      1429 ;09/08/2022 ;12:30    ;MC               ;      7666 ;09/08/2022 ;13:35    ;MC
3301260 ;MP       ;         319 ;        0 ;      7665 ;09/08/2022 ;17:10    ;MC               ;      1022 ;09/08/2022 ;18:10    ;MC
3301275 ;MP       ;         223 ;        0 ;      1329 ;09/08/2022 ;19:45    ;MC               ;      1176 ;09/08/2022 ;20:45    ;MC
3301279 ;MP       ;         319 ;        0 ;      1367 ;09/08/2022 ;13:35    ;MC               ;      9454 ;09/08/2022 ;14:55    ;MC
3301288 ;MP       ;         223 ;        0 ;      1177 ;09/08/2022 ;08:20    ;MC               ;      1178 ;09/08/2022 ;09:15    ;MC
3301345 ;MP       ;         318 ;        0 ;      7707 ;09/08/2022 ;17:05    ;MC               ;      1440 ;09/08/2022 ;17:50    ;MC
3301349 ;MP       ;         320 ;        0 ;      7713 ;09/08/2022 ;11:30    ;MC               ;      7724 ;09/08/2022 ;12:25    ;MC
3301359 ;MP       ;         223 ;        0 ;      1213 ;09/08/2022 ;11:20    ;MC               ;      1850 ;09/08/2022 ;12:15    ;MC
3301388 ;MP       ;         223 ;        0 ;      1029 ;09/08/2022 ;08:20    ;MC               ;      1532 ;09/08/2022 ;09:15    ;MC
3301389 ;MP       ;         318 ;        0 ;      1443 ;09/08/2022 ;15:55    ;MC               ;      1140 ;09/08/2022 ;16:40    ;MC
3301391 ;MP       ;         223 ;        0 ;      1225 ;09/08/2022 ;13:05    ;MC               ;      1378 ;09/08/2022 ;14:25    ;MC
3301393 ;MP       ;         321 ;        0 ;      1625 ;09/08/2022 ;19:25    ;MC               ;      1124 ;09/08/2022 ;20:45    ;MC
3301417 ;MP       ;         320 ;        0 ;      1463 ;09/08/2022 ;08:50    ;MC               ;      7652 ;09/08/2022 ;09:55    ;MC
3301428 ;MP       ;         319 ;        0 ;      1289 ;09/08/2022 ;20:35    ;MC               ;      1326 ;09/08/2022 ;21:35    ;MC
3301430 ;MP       ;         319 ;        0 ;      7637 ;09/08/2022 ;21:05    ;MC               ;      7684 ;09/08/2022 ;21:55    ;MC
3301432 ;MP       ;         318 ;        0 ;      1623 ;09/08/2022 ;16:20    ;MC               ;      1404 ;09/08/2022 ;17:05    ;MC
3301453 ;MP       ;         321 ;        0 ;      1341 ;09/08/2022 ;11:55    ;MC               ;      1624 ;09/08/2022 ;13:10    ;MC
3301460 ;MP       ;         319 ;        0 ;      7515 ;09/08/2022 ;17:40    ;MC               ;      1042 ;09/08/2022 ;18:30    ;MC
3301500 ;MP       ;         318 ;        0 ;      1141 ;09/08/2022 ;20:00    ;MC               ;      1122 ;09/08/2022 ;20:55    ;MC
3301516 ;MP       ;         320 ;        0 ;      7643 ;09/08/2022 ;13:05    ;MC               ;      1290 ;09/08/2022 ;14:20    ;MC
